17,8,16,4,19,9,22,7,14,2,20,10,5,15,3,18,6,1,25,13,11,23,12,21,24
12,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20,10,5,15,24,17
10,5,15,12,17,24,21,3,18,6,1,25,13,11,23,19,9,8,16,4,22,7,14,2,20
21,3,18,6,1,11,7,14,22,23,19,9,8,13,2,20,10,5,15,24,4,16,25,17,12
10,5,15,12,17,24,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20
3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20,10,5,15,12,17,24,21
2,20,10,5,15,12,17,24,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14
10,5,15,12,17,24,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20
17,24,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20,10,5,15,12
2,20,10,5,15,12,17,24,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14
3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20,10,5,15,12,17,24,21
20,10,5,15,12,17,24,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2
3,12,1,8,6,15,2,10,16,4,17,22,14,11,20,19,5,9,25,18,24,23,7,21,13
12,21,3,18,6,1,25,13,11,23,8,16,4,19,9,22,7,14,2,20,10,5,15,24,17
